"Probe_ID","Probe_Name"
"J03779_at","MME Membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)"
"J03798_at","SMALL NUCLEAR RIBONUCLEOPROTEIN SM D1"
"J03890_rna1_at","SP-C1 gene (pulmonary surfactant protein SP-C) extracted from Human pulmonary surfactant protein C (SP-C) and pulmonary surfactant protein C1 (SP-C1) genes"
"J03909_at","GAMMA-INTERFERON-INDUCIBLE PROTEIN IP-30 PRECURSOR"
"J03925_at","ITGAM Integrin, alpha M (complement component receptor 3, alpha; also known as CD11b (p170), macrophage antigen alpha polypeptide)"
"J04027_at","Adenosine triphosphatase mRNA"
"J04058_at","ETFA Electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)"
"J04088_at","TOP2A Topoisomerase (DNA) II alpha (170kD)"
"J04101_at","GB DEF = Erythroblastosis virus oncogene homolog 1 (ets-1) mRNA"
"J04102_at","ETS2 V-ets avian erythroblastosis virus E26 oncogene homolog 2"
"J04111_at","C-jun proto oncogene (JUN), clone hCJ-1"
"J04132_at","CD3Z CD3Z antigen, zeta polypeptide (TiT3 complex)"
"J04162_at","FCGR3 Fc fragment of IgG, low affinity IIIa, receptor for (CD16)"
"J04164_at","RPS3 Ribosomal protein S3"
"J04173_at","PGAM1 Phosphoglycerate mutase 1 (brain)"
"J04444_at","CYC1 Cytochrome c-1"
"J04456_at","LGALS1 Ubiquinol-cytochrome c reductase core protein II"
"J04501_at","GYS1 Glycogen synthase 1 (muscle)"
"J04543_at","ANX7 Annexin VII (synexin)"
"J04599_at","BGN Biglycan"
"J04605_at","PEPD Peptidase D"
"J04611_at","G22P1 Thyroid autoantigen 70kD (Ku antigen)"
"J04615_at","SNRPN Small nuclear ribonucleoprotein polypeptide N"
"J04794_at","ALCOHOL DEHYDROGENASE"
"J04809_rna1_at","Cytosolic adenylate kinase (AK1) gene"
"J04823_rna1_at","Cytochrome c oxidase subunit VIII (COX8) mRNA"
"J04948_at","Alkaline phosphatase"
"J04973_at","LGALS1 Ubiquinol-cytochrome c reductase core protein II"
"J04990_at","CATHEPSIN G PRECURSOR"
"J05032_at","ASPARTYL-TRNA SYNTHETASE"
"J05243_at","SPTAN1 Spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)"
"J05257_at","DPEP1 Dipeptidase 1 (renal)"
"J05272_at","IMPDH1 IMP (inosine monophosphate) dehydrogenase 1"
"J05500_at","SPTB Spectrin, beta, erythrocytic (includes sperocytosis, clinical type I)"
"J05614_at","GB DEF = Proliferating cell nuclear antigen (PCNA) gene, promoter region"
"K01396_at","PI Protease inhibitor 1 (anti-elastase), alpha-1-antitrypsin"
"K01911_at","NPY Neuropeptide Y"
"K02545_cds2_at","TCRB gene extracted from Human T-cell receptor germline beta-chain J-beta-1 gene cluster: J-beta-1-1 and J-beta-1-2 genes; and D-beta-1-1 gene"
"K02574_at","NP Nucleoside phosphorylase"
"K03195_at","(HepG2) glucose transporter gene mRNA"
"K03430_at","C1QB Complement component 1, q subcomponent, beta polypeptide"
"K03460_at","Alpha-tubulin isotype H2-alpha gene, last exon"
"K03515_at","GPI Glucose phosphate isomerase"
"L00352_at","LOW-DENSITY LIPOPROTEIN RECEPTOR PRECURSOR"
"L00635_at","FNTB Farnesyltransferase, CAAX box, beta"
"L01087_at","PRKCQ Protein kinase C-theta"
"L01664_at","CLC Charot-Leyden crystal protein"
"L02867_at","62 kDa paraneoplastic antigen mRNA, 3' end"
"L02950_at","CRYM Crystallin Mu"
"L03532_at","M4 protein mRNA"
"L04490_at","(clone CC6) NADH-ubiquinone oxidoreductase subunit mRNA, 3' end cds"
"L04733_at","KINESIN LIGHT CHAIN"
"L04953_at","NEURON-SPECIFIC X11 PROTEIN"
"L05148_at","Protein tyrosine kinase related mRNA sequence"
"L05424_cds2_at","CD44 gene (cell surface glycoprotein CD44) extracted from Human hyaluronate receptor (CD44) gene"
"L05425_at","Autoantigen mRNA"
"L05512_at","HTN1 Histatin 1"
"L05779_at","EPHX2 Epoxide hydrolase 2, cytoplasmic"
"L06132_at","VDAC1 Voltage-dependent anion channel 1"
"L06175_at","P5-1 mRNA"
"L06419_at","PLOD Lysyl hydroxylase"
"L06633_at","Transcription factor mRNA"
"L06845_at","CARS Cysteinyl-tRNA synthetase"
"L07044_at","Calcium/calmodulin-dependent protein kinase (CAMK) isoform B mRNA sequence"
"L07493_at","RECA Replication protein A (E coli RecA homolog, RAD51 homolog)"
"L07548_at","ACY1 Aminoacylase 1"
"L07597_at","RPS6KA2 Ribosomal protein S6 kinase, 90kD, polypeptide 2"
"L07633_at","INTERFERON GAMMA UP-REGULATED I-5111 PROTEIN PRECURSOR"
"L07758_at","IEF SSP 9502 mRNA"
"L07765_at","CES2 Carboxylestease 2 (liver)"
"L07956_at","GBE1 Glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)"
"L08069_at","DNAJ PROTEIN HOMOLOG 2"
"L08187_at","Cytokine receptor (EBI3) mRNA"
"L08246_at","INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL1"
"L09260_at","(chromosome 3p25) membrane protein mRNA"
"L09604_at","INTESTINAL MEMBRANE A4 PROTEIN"
"L09708_at","C2 Complement component C2"
"L10284_at","CANX Calnexin"
"L10373_at","MXS1 Membrane component, X chromosome, surface marker 1"
"L10378_at","(clone CTG-B43a) mRNA sequence"
"L10838_at","PRE-MRNA SPLICING FACTOR SRP20"
"L10910_at","Splicing factor (CC1.3) mRNA"
"L11239_at","Homeobox protein (HOX) gene, 3' end"
"L11285_at","DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2"
"L11329_at","DUAL SPECIFICITY PROTEIN PHOSPHATASE PAC-1"
"L11370_at","Protocadherin 42 mRNA for abbreviated PC42"
"L11373_at","Protocadherin 43 mRNA for abbreviated PC43"
"L11669_at","Tetracycline transporter-like protein mRNA"
"L12535_at","RSU-1/RSP-1 mRNA"
"L13203_at","HNF-3/fork-head homolog-3 HFH-3 mRNA"
"L13210_at","Mac-2 binding protein mRNA"
"L13391_at","REGULATOR OF G-PROTEIN SIGNALLING 2"
"L13434_at","Chromosome 3p21.1 gene sequence"
"L13436_at","Guanylate cyclase mRNA, complete mature peptide"
"L13689_at","BMI1 Murine leukemia viral (bmi-1) oncogene homolog"
"L13738_at","Activated p21cdc42Hs kinase (ack) mRNA"
"L13761_rna1_at","Dihydrolipoamide dehydrogenase gene, exon 14"
"L13800_at","GB DEF = Liver expressed protein gene, 3' end"
"L13848_at","LKP DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 9 (RNA helicase A)"
"L13852_at","UBE1L Ubiquitin-activating enzyme E1, like"
"L13923_at","FBN1 Fibrillin 1 (Marfan syndrome)"
"L13972_at","SIAT4A Sialyltransferase 4A (beta-galactosidase alpha-2,3-sialytransferase)"
"L14076_at","PRE-MRNA SPLICING FACTOR SRP75"
"L14565_at","PERIPHERIN"
"L14754_at","IGHMBP2 DNA-binding protein (SMBP2)"
"L14837_at","TJP1 Tight junction protein 1 (zona occludens 1)"
"L15409_at","VON HIPPEL-LINDAU DISEASE TUMOR SUPPRESSOR"
"L15702_at","BF B-factor, properdin"
"L16464_at","ETS-RELATED PROTEIN PE-1"
"L16842_at","UQCRC1 Ubiquinol-cytochrome c reductase core protein I"
"L16862_at","GPRK6 G protein-coupled receptor kinase 6"
"L16896_at","Zinc finger protein mRNA"
"L16991_at","DTYMK Deoxythymidylate kinase"
"L17131_rna1_at","High mobility group protein (HMG-I(Y)) gene exons 1-8"
"L17327_at","Pre-T/NK cell associated protein (3B3) mRNA, 3' end"
"L19067_at","TRANSCRIPTION FACTOR P65"
"L19161_at","GB DEF = Translation initiation factor eIF-2 gamma subunit mRNA"
"L19183_at","MAC30 mRNA, 3' end"
"L19267_at","59 protein mRNA, 3' end"
"L19314_at","HRY gene"
"L19437_at","TALDO Transaldolase"
"L19605_at","ANX11 Annexin XI (56kD autoantigen)"
"L19686_rna1_at","Macrophage migration inhibitory factor (MIF) gene"
"L19711_at","Dystroglycan (DAG1) mRNA"
"L19779_at","Histone H2A.2 mRNA"
"L19871_at","ATF3 Activating transcription factor 3"
"L19872_at","AHR AH-receptor"
"L20010_at","HCF1 gene related mRNA sequence"
"L20298_at","Transcription factor (CBFB) mRNA, 3' end"
"L20316_at","GCGR Glucagon receptor"
"L20815_at","S protein mRNA"
"L20941_at","FTH1 Ferritin heavy chain"
"L20971_at","PDE4B Phosphodiesterase 4B, cAMP-specific (dunce (Drosophila)-homolog phosphodiesterase E4)"
"L21893_at","SLC10A1 Na/taurocholate cotransporting polypeptide"
"L21936_at","SDH2 Succinate dehydrogenase 2, flavoprotein (Fp) subunit"
"L21954_at","PERIPHERAL-TYPE BENZODIAZEPINE RECEPTOR"
"L22075_at","Guanine nucleotide regulatory protein (G13) mRNA"
"L22214_at","ADORA1 Adenosine receptor A1"
"L22342_at","GB DEF = Nuclear phosphoprotein mRNA"
"L24559_at","POLA DNA polymerase alpha subunit"
"L24564_at","Rad mRNA"
"L24783_at","GB DEF = mRNA fragment"
"L24804_at","(p23) mRNA"
"L25081_at","ARH9 Aplysia ras-related homolog 9"
"L25085_at","PROTEIN TRANSPORT PROTEIN SEC61 BETA SUBUNIT"
"L25270_at","XE169 PROTEIN"
"L25444_at","TBP-associated factor TAFII80 mRNA"
"L25851_at","INTEGRIN ALPHA-E PRECURSOR"
"L25876_at","Protein tyrosine phosphatase (CIP2)mRNA"
"L26247_at","RPL3 Ribosomal protein L3"
"L26494_at","POU3F1 POU domain, class 3, transcription factor 1"
"L27560_at","Insulin-like growth factor binding protein 5 (IGFBP5) mRNA"
"L27706_at","CCT6 Chaperonin containing T-complex subunit 6"
"L27841_at","Autoantigen pericentriol material 1 (PCM-1) mRNA"
"L27943_at","CDA Cytidine deaminase"
"L28010_at","HnRNP F protein mRNA"
"L28175_at","PTGER2 Prostaglandin E receptor 2 (subtype EP2), 53kD"
"L28821_at","MANA2 Alpha mannosidase II isozyme"
"L29008_at","SORD Sorbitol dehydrogenase"
"L29218_at","Clk2 mRNA"
"L29277_at","STAT3 Signal transducer and activator of transcription 3 (acute-phase response factor)"
"L31584_at","CMKBR7 Chemokine (C-C) receptor 7"
"L31801_at","SLC16A1 Solute carrier family 16 (monocarboxylic acid transporters), member 1"
"L32866_at","Effector cell protease receptor-1 (EPR-1) gene, partial cds"
"L32976_at","Protein kinase (MLK-3) mRNA"
"L32977_at","UBIQUINOL-CYTOCHROME C REDUCTASE IRON-SULFUR SUBUNIT PRECURSOR"
"L33243_at","PKD1 Polycystic kidney disease protein 1"
"L33842_rna1_at","(clone FFE-7) type II inosine monophosphate dehydrogenase (IMPDH2) gene, exons 1-13"
"L34059_at","CDH4 Cadherin 4"
"L34060_at","Cadherin-8 mRNA"
"L34587_at","RNA polymerase II elongation factor SIII, p15 subunit mRNA"
"L34657_at","PECAM1 Platelet/endothelial cell adhesion molecule (CD31 antigen)"
"L35035_at","Ribose 5-phosphate isomerase (RPI) mRNA"
"L35240_at","Enigma gene"
"L35269_at","ZINC FINGER PROTEIN 35"
"L35475_at","GB DEF = Olfactory receptor-like gene"
"L36463_at","Ras inhibitor mRNA, 3' end"
"L36531_at","GB DEF = Integrin alpha 8 subunit mRNA, 3' end"
"L36645_at","Receptor protein-tyrosine kinase (HEK8) mRNA"
"L36720_at","Bystin mRNA"
"L36818_at","INPPL1 Inositol polyphosphate phosphatase-like protein 1 (51C protein)"
"L36922_at","GB DEF = Met-ase gene, exon 1"
"L36983_at","Dynamin (DNM) mRNA"
"L37033_at","FK-506 binding protein homologue (FKBP38) mRNA"
"L37042_at","CSNK1A1 Casein kinase 1, alpha 1"
"L37043_at","CSNK1E Casein kinase 1, epsilon"
"L37127_at","(clone mf.18) RNA polymerase II mRNA"
"L37792_at","Syntaxin 1A mRNA"
"L37936_at","MITOCHONDRIAL ELONGATION FACTOR TS PRECURSOR"
"L38486_at","MFAP4 Microfibrillar-associated protein 4"
"L38487_at","Estrogen receptor-related protein (hERRa1) mRNA, 3' end, partial cds"
"L38616_at","Brain and reproductive organ-expressed protein (BRE) gene"
"L38696_at","Autoantigen p542 mRNA, 3' end of cds"
"L38810_at","Thyroid receptor interactor (TRIP1) mRNA"
"L38935_at","GT212 mRNA"
"L38951_at","Importin beta subunit mRNA"
"L38961_at","ITM1 Integral transmembrane protein 1"
"L39059_at","Transcription factor SL1 mRNA"
"L39874_at","DCTD Deoxycytidylate deaminase"
"L40027_at","Glycogen synthase kinase 3 mRNA"
"L40357_at","Thyroid receptor interactor (TRIP7) mRNA, 3' end of cds"
"L40387_at","GB DEF = Thyroid receptor interactor (TRIP14) gene, 3' end of cds"
"L40391_at","(clone s153) mRNA fragment"
"L40392_at","(clone S164) mRNA, 3' end of cds"
"L40395_at","(clone S20iii15) mRNA, 3' end of cds"
"L40410_at","Thyroid receptor interactor (TRIP3) mRNA, 3' end of cds"
"L40586_at","IDS Iduronate 2-sulfatase (Hunter syndrome)"
"L40904_at","LGALS1 Ubiquinol-cytochrome c reductase core protein II"
"L41067_at","Transcription factor NFATx mRNA"
"L41690_at","TNF receptor-1 associated protein (TRADD) mRNA, 3' end of cds"
"L41870_at","RB1 Retinoblastoma 1 (including osteosarcoma)"
"L41887_rna1_at","Splicing factor, arginine/serine-rich 7 (SFRS7) gene"
"L41919_rna1_at","HIC-1 gene fragment"
"L42324_at","GB DEF = (clone GPCR W) G protein-linked receptor gene (GPCR) gene, 5' end of cds"
"L42354_at","GB DEF = (clone 48ES4) mRNA fragment"
"L42373_at","Protein phosphatase 2A B56-alpha mRNA"
"L42379_at","Quiescin (Q6) mRNA, partial cds"
"L42451_at","Pyruvate dehydrogenase kinase isoenzyme 2 (PDK2) mRNA"
"L42542_at","RLIP76 protein mRNA"
"L42563_at","ATP1AL1 ATP-driven ion pump"
"L42572_at","Motor protein"
"L42621_at","Ly-9 mRNA"
"L43631_at","Scaffold attachment factor (SAF-B) gene, partial cds"
"L47345_at","TCEB3 Transcription elongation factor B (SIII), polypeptide 3 (110kD, elongin A)"
"L47738_at","Inducible protein mRNA"
"L48546_at","TSC2 Tuberin"
"L49169_at","G0S3 mRNA"
"L76159_at","FRG1 mRNA"
"L76200_at","Guanylate kinase (GUK1) mRNA"
"L76224_at","NMDA receptor mRNA"
"L76380_at","(clone HSNME29) CGRP type 1 receptor mRNA"
"L76465_at","15-HYDROXYPROSTAGLANDIN DEHYDROGENASE"
"L76702_at","Protein phosphatase 2A 74 kDa regulatory subunit (delta or B"" subunit)"
"L76703_at","B56epsilon mRNA"
"L77213_at","Phosphomevalonate kinase mRNA"
"L77561_at","DGS-D mRNA, 3' end"
"L77701_at","COX17 mRNA"
"L77886_at","Protein tyrosine phosphatase mRNA"
"L78440_at","STAT4 Signal transducer and activator of transcription 4"
"M10612_at","APOC2 Apolipoprotein C-II"
"M10901_at","GRL Glucocorticoid receptor"
"M11119_at","GB DEF = Endogenous retrovirus envelope region mRNA (PL1)"
"M11147_at","FTL Ferritin, light polypeptide"
"M11186_at","OXT Oxytocin"
"M11717_rna1_at","Heat shock protein (hsp 70) gene"
"M11722_at","Terminal transferase mRNA"
"M11726_at","PPY Pancreatic polypeptide"
"M12174_at","ARH6 Aplysia ras-related homolog 6"
"M12759_at","IMMUNOGLOBULIN J CHAIN"
"M12886_at","TCRB T-cell receptor, beta cluster"
"M13194_at","ERCC1 Excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)"
"M13241_at","N-MYC PROTO-ONCOGENE PROTEIN"
"M13755_at","G1P2 Interferon, alpha-inducible protein (clone IFI-15K)"
"M13792_at","ADA Adenosine deaminase"
"M13903_at","GB DEF = Involucrin gene, exon 2"
"M13934_cds2_at","RPS14 gene (ribosomal protein S14) extracted from Human ribosomal protein S14 gene"
"M13955_at","Mesothelial keratin K7 (type II) mRNA, 3' end"
"M14016_at","UROD Uroporphyrinogen decarboxylase"
"M14058_at","C1R Complement component C1r"
"M14158_cds4_at","T-cell receptor beta-chain J1.3 gene extracted from Human T-cell receptor germline beta-chain D1.1 and J1.1 to J1.6 genes"
"M14200_rna1_at","Diazepam binding inhibitor (DBI) mRNA"
"M14219_at","DCN Decorin"
"M14539_at","COAGULATION FACTOR XIII A CHAIN"
"M14636_at","PYGL Glycogen phosphorylase L (liver form)"
"M14660_at","GB DEF = ISG-54K gene (interferon stimulated gene) encoding a 54 kDA protein, exon 2"
"M14676_at","FYN FYN oncogene related to SRC, FGR, YES"
"M15059_at","FCER2 Fc fragment of IgE, low affinity II, receptor for (CD23A)"
"M15182_at","GUSB Glucuronidase, beta"
"M15205_at","TK1 Thymidine kinase 1, soluble"
"M15661_at","RPL44 Ribosomal protein L44"
"M15796_at","PCNA Proliferating cell nuclear antigen"
"M15841_at","SNRPB2 Small nuclear ribonucleoprotein polypeptide B''"
"M15990_at","C-yes-1 mRNA"
"M16038_at","LYN V-yes-1 Yamaguchi sarcoma viral related oncogene homolog"
"M16279_at","MIC2 Antigen identified by monoclonal antibodies 12E7, F21 and O13"
"M16405_at","MUSCARINIC ACETYLCHOLINE RECEPTOR M4"
"M16424_at","BETA-HEXOSAMINIDASE ALPHA CHAIN PRECURSOR"
"M18737_rna1_at","GJA1P1 gene extracted from Human Hanukah factor serine protease (HuHF) mRNA"
"M19159_at","ALPP Alkaline phosphatase, placental (Regan isozyme)"
"M19483_at","ATP5B ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide"
"M19507_at","MPO Myeloperoxidase"
"M19645_at","78 KD GLUCOSE REGULATED PROTEIN PRECURSOR"
"M19722_at","FGR Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog"
"M19961_at","COX5B Cytochrome c oxidase subunit Vb"
"M19989_cds2_at","Platelet-derived growth factor (PDGFA) A chain gene"
"M20471_at","CLTA Clathrin light chain A"
"M20681_at","GLUCOSE TRANSPORTER TYPE 3, BRAIN"
"M20902_at","APOC1 Apolipoprotein CI"
"M21005_at","CALGRANULIN A"
"M21121_at","SCYA5 Small inducible cytokine A5 (RANTES)"
"M21154_at","AMD1 S-adenosylmethionine decarboxylase 1"
"M21186_at","CYBA Cytochrome b-245, alpha polypeptide"
"M21259_at","SNRPE Small nuclear ribonucleoprotein polypeptide E"
"M21551_rna1_at","Neuromedin B mRNA"
"M21574_at","PDGFRA Platelet-derived growth factor receptor, alpha polypeptide"
"M21624_at","TCRD T-cell receptor, delta"
"M21904_at","MDU1 Antigen identified by monoclonal antibodies 4F2, TRA1.10, TROP4, and T43"
"M21984_at","TROPONIN T, FAST SKELETAL MUSCLE ISOFORM BETA"
"M21985_at","ORPHAN RECEPTOR TR2"
"M22324_at","ANPEP Alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13)"
"M22382_at","HSPD1 Heat shock 60 kD protein 1 (chaperonin)"
"M22430_at","PLA2G2A Phospholipase A2, group IIA (platelets, synovial fluid)"
"M22489_at","BMP2 Bone morphogenetic protein 2"
"M22538_at","NDUFV2 NADH dehydrogenase (ubiquinone) flavoprotein 2 (24kD)"
"M22632_at","GOT2 Glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)"
"M22638_at","LYL-1 protein gene"
"M22760_at","CYTOCHROME C OXIDASE POLYPEPTIDE VA PRECURSOR"
"M22877_at","CYC1 Cytochrome c-1"
"M22898_at","TP53 Tumor protein p53 (Li-Fraumeni syndrome)"
"M22919_rna2_at","MLC gene (non-muscle myosin light chain) extracted from Human nonmuscle/smooth muscle alkali myosin light chain gene"
"M22960_at","PPGB Protective protein for beta-galactosidase (galactosialidosis)"
"M22976_at","CYB5 Cytochrome b-5"
"M22995_at","RAP1A RAP1A, member of RAS oncogene family"
"M23114_at","ATP2A2 ATPase, Ca++ transporting, cardiac muscle, slow twitch  2"
"M23161_at","Transposon-like element mRNA"
"M23197_at","CD33 CD33 antigen (differentiation antigen)"
"M23254_at","CAPN2 Calpain, large polypeptide L2"
"M23294_at","HEXB Hexosaminidase B (beta polypeptide)"
"M23379_at","RASA1 GTPase-activating protein ras p21 (RASA)"
"M24248_at","MYL3 Myosin, light polypeptide 3, alkali; ventricular, skeletal, slow"
"M24398_at","PTMS Parathymosin"
"M24439_at","ALPL Alkaline phosphatase, liver/bone/kidney"
"M24470_at","G6PD Glucose-6-phosphate dehydrogenase"
"M24594_at","IFI56 Interferon-induced protein 56"
"M24899_at","THRA Thyroid hormone receptor, alpha (avian erythroblastic leukemia viral (v-erb-a) oncogene homolog)"
"M25077_at","60-kdal ribonucleoprotein (Ro) mRNA"
"M25269_at","ELK1 ELK1, member of ETS oncogene family"
"M25280_at","SELL Selectin L (lymphocyte adhesion molecule 1)"
"M25809_at","ATP6B1 ATPase, H+ transporting, lysosomal (vacuolar proton pump), beta polypeptide, 56/58kD, isoform 1"
"M25897_at","PF4 Platelet factor 4"
"M26576_cds2_at","COL4A1 gene (alpha-1 type IV collagen) extracted from Human alpha-1 collagen type IV gene"
"M26602_at","DEFA1 Defensin, alpha 1, myeloid-related sequence "
"M26880_at","UBA52 Ubiquitin A-52 residue ribosomal protein fusion product 1"
"M27161_at","CD8A CD8 antigen, alpha polypeptide (p32)"
"M27819_at","SLC4A1 Solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3)"
"M27826_at","Endogenous retroviral protease mRNA"
"M27891_at","CST3 Cystatin C (amyloid angiopathy and cerebral hemorrhage)"
"M28209_at","RAS-RELATED PROTEIN RAB-1A"
"M28713_at","NADH-CYTOCHROME B5 REDUCTASE"
"M28825_at","CD1A CD1a antigen (thymocyte antigen)"
"M28826_at","CD1B CD1b antigen (thymocyte antigen)"
"M28827_at","CD1C CD1c antigen (thymocyte antigen)"
"M29064_at","HNRPA2B1 Heterogeneous nuclear ribonucleoprotein A2/B1"
"M29273_at","MAG Myelin-associated glycoprotein"
"M29474_at","Recombination activating protein (RAG-1) gene"
"M29536_at","Translational initiation factor 2 beta subunit (elF-2-beta) mRNA"
"M29696_at","IL7R Interleukin 7 receptor"
"M29877_at","FUCA1 Fucosidase, alpha-L- 1, tissue"
"M29927_at","OAT Ornithine aminotransferase (gyrate atrophy)"
"M29971_at","MGMT 6-O-methylguanine-DNA methyltransferase (MGMT)"
"M30185_at","CETP Cholesteryl ester transfer protein, plasma"
"M30818_at","MX2 Myxovirus (influenza) resistance 2, homolog of murine"
"M30894_at","TCRG T cell receptor gamma chain"
"M30938_at","ATP-DEPENDENT DNA HELICASE II, 86 KD SUBUNIT"
"M31013_at","MYH9 Myosin, heavy polypeptide 9, non-muscle"
"M31166_at","PTX3 Pentaxin-related gene, rapidly induced by IL-1 beta"
"M31303_rna1_at","Oncoprotein 18 (Op18) gene"
"M31328_at","GNB3 Guanine nucleotide binding protein (G protein), beta polypeptide 3"
"M31627_at","X BOX BINDING PROTEIN-1"
"M31642_at","HPRT1 Hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)"
"M31994_at","ALDH1 Aldehyde dehydrogenase 1, soluble"
"M32011_at","NCF2 Neutrophil cytosolic factor 2 (65kD, chronic granulomatous disease, autosomal 2)"
"M32053_at","GB DEF = H19 RNA gene"
"M32313_at","SRD5A1 Steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)"
"M32315_at","TNFR2 Tumor necrosis factor receptor 2 (75kD)"
"M32334_at","ICAM2 Intercellular adhesion molecule 2"
"M32886_at","SRI Sorcin"
"M33195_at","Fc-epsilon-receptor gamma-chain mRNA"
"M33308_at","VCL Vinculin"
"M33336_at","PRKAR1A CAMP-dependent protein kinase regulatory subunit type I"
"M33518_at","LARGE PROLINE-RICH PROTEIN BAT2"
"M33521_at","LARGE PROLINE-RICH PROTEIN BAT3"
"M33552_at","GB DEF = Lymphocyte-specific protein 1 (LSP1) mRNA"
"M33680_at","26-kDa cell surface protein TAPA-1 mRNA"
"M33764_at","ODC1 Ornithine decarboxylase 1"
"M33882_at","MX1 Myxovirus (influenza) resistance 1, homolog of murine (interferon-inducible protein p78)"
"M34041_at","GB DEF = Alpha-2-adrenergic receptor (alpha-2 c2) gene"
"M34175_at","CLAPB1 Clathrin-associated/assembly/adaptor protein, large, beta 1"
"M34181_at","PRKACB Protein kinase, cAMP-dependent, catalytic, beta"
"M34344_at","ITGA2B Integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41B)"
"M34423_at","GLB1 Beta-D-galactosidase"
"M34455_at","IDO Indole 2,3-dioxygenase"
"M34539_at","FKBP1 FK506-binding protein 1 (12kD)"
"M34667_at","PLCG1 Phospholipase C, gamma 1 (formerly subtype 148)"
"M34668_at","PTPRA Protein tyrosine phosphatase, receptor type, alpha polypeptide"
"M34677_at","FACTOR VIII INTRON 22 PROTEIN"
"M35128_at","GB DEF = M1 gene for muscarinic acetylcholine receptor"
"M35531_at","FUT1 Fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, Bombay phenotype included)"
"M35878_at","INSULIN-LIKE GROWTH FACTOR BINDING PROTEIN 3 PRECURSOR"
"M36067_at","LIG1 Ligase I, DNA, ATP-dependent"
"M36089_at","DNA-REPAIR PROTEIN XRCC1"
"M36341_at","ARF4 ADP-ribosylation factor 4"
"M37033_at","CD53 CD53 antigen"
"M37104_at","ATP5 ATP synthase, H+ transporting, mitochondrial"
"M37245_at","GB DEF = Ig superfamily cytotoxic T-lymphocyte-associated protein (CTLA-4) gene, last exon"
"M37435_at","CSF1 Colony-stimulating factor 1 (M-CSF)"
"M37583_at","H2AZ H2AZ histone"
"M37766_at","CD48 CD48 antigen (B-cell membrane protein)"
"M38591_at","S100A10 S100 calcium-binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11))"
"M38690_at","CD9 CD9 antigen"
"M54992_at","CD72 CD72 antigen"
"M54995_at","PPBP Connective tissue activation peptide III"
"M55067_at","NCF1 47 kD autosomal chronic granulomatous disease protein"
"M55150_at","FAH Fumarylacetoacetate"
"M55265_at","CSNK2A1 Casein kinase 2, alpha 1 polypeptide"
"M55268_at","CSNK2A2 Casein kinase 2, alpha prime polypeptide"
"M55531_at","SLC2A5 Solute carrier family 2 (facilitated glucose transporter), member 5"
"M55593_at","MMP2 Matrix metalloproteinase 2 (gelatinase A, 72kD gelatinase, 72kD type IV collagenase)"
"M55671_at","VITAMIN K-DEPENDENT PROTEIN Z PRECURSOR"
"M57567_at","ARF5 ADP-ribosylation factor 5"
"M57609_at","GLI3 PROTEIN"
"M57710_at","LGALS3 Lectin, galactoside-binding, soluble, 3 (galectin 3) (NOTE: redefinition of symbol)"
"M57763_at","ARF6 ADP-ribosylation factor 6"
"M58028_at","UBE1 Ubiquitin activating enzyme E1"
"M58285_at","Membrane-associated protein (HEM-1) mRNA"
"M58378_cds1_at","SYN1 gene (synapsin I) extracted from Human synapsin I (SYN1) gene"
"M58459_at","RPS4Y Ribosomal protein S4, Y-linked"
"M58603_at","NFKB1 Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)"
"M59465_at","TNFAIP1 Tumor necrosis factor alpha inducible protein A20"
"M59807_at","NATURAL KILLER CELLS PROTEIN 4 PRECURSOR"
"M59815_at","C4A Complement component 4A"
"M59820_at","CSF3R Colony stimulating factor 3 receptor (granulocyte)"
"M59829_at","GB DEF = MHC class III HSP70-HOM gene (HLA)"
"M59830_at","HEAT SHOCK 70 KD PROTEIN 1"
"M59911_at","ITGA3 Integrin alpha-3 subunit"
"M60091_at","GALT Galactose-1-phosphate uridyl transferase"
"M60165_cds1_at","HLA-DQB1 gene extracted from Human guanine nucleotide-binding regulatory protein (Go-alpha) gene"
